County,County Code,Year Code,Deaths,Population,Crude Rate,meanincome
"Baldwin County, AL",01003,2013,11,195540,Unreliable,38428
"Baldwin County, AL",01003,2014,22,200111,11.0,39598
"Baldwin County, AL",01003,2015,20,203709,9.8,41502
"Baldwin County, AL",01003,2016,24,208563,11.5,43012
"Baldwin County, AL",01003,2017,25,212628,11.8,44498
"Baldwin County, AL",01003,2018,16,218022,Unreliable,45852
"Baldwin County, AL",01003,2019,24,223234,10.8,47911
"Baldwin County, AL",01003,2020,46,229287,20.1,51230
"Blount County, AL",01009,2014,10,57719,Unreliable,31309
"Blount County, AL",01009,2015,11,57673,Unreliable,32469
"Blount County, AL",01009,2016,10,57704,Unreliable,32532
"Blount County, AL",01009,2017,12,58013,Unreliable,33781
"Calhoun County, AL",01015,2019,13,113605,Unreliable,36747
"Calhoun County, AL",01015,2020,11,113469,Unreliable,39591
"Cullman County, AL",01043,2016,15,82471,Unreliable,35483
"Cullman County, AL",01043,2017,11,82755,Unreliable,36933
"Cullman County, AL",01043,2018,14,83442,Unreliable,38038
"DeKalb County, AL",01049,2017,14,71617,Unreliable,30965
"DeKalb County, AL",01049,2018,11,71385,Unreliable,32114
"Escambia County, AL",01053,2017,10,37447,Unreliable,31672
"Escambia County, AL",01053,2018,10,36748,Unreliable,32079
"Etowah County, AL",01055,2017,30,102755,29.2,35134
"Etowah County, AL",01055,2018,21,102501,20.5,36135
"Etowah County, AL",01055,2019,18,102268,Unreliable,37278
"Etowah County, AL",01055,2020,14,102371,Unreliable,39607
"Houston County, AL",01069,2018,12,104722,Unreliable,42065
"Houston County, AL",01069,2020,16,106580,Unreliable,47325
"Jefferson County, AL",01073,2013,102,659479,15.5,44208
"Jefferson County, AL",01073,2014,200,660793,30.3,45630
"Jefferson County, AL",01073,2015,162,660367,24.5,47839
"Jefferson County, AL",01073,2016,184,659521,27.9,48494
"Jefferson County, AL",01073,2017,186,659197,28.2,51079
"Jefferson County, AL",01073,2018,177,659300,26.8,53073
"Jefferson County, AL",01073,2019,185,658573,28.1,54565
"Jefferson County, AL",01073,2020,259,655342,39.5,58074
"Lee County, AL",01081,2020,11,166831,Unreliable,41326
"Limestone County, AL",01083,2017,10,94402,Unreliable,40665
"Madison County, AL",01089,2015,17,353089,Unreliable,46109
"Madison County, AL",01089,2016,21,356967,5.9,47175
"Madison County, AL",01089,2017,26,361046,7.2,48397
"Madison County, AL",01089,2018,23,366519,6.3,50238
"Madison County, AL",01089,2019,66,372909,17.7,52686
"Madison County, AL",01089,2020,87,379453,22.9,56265
"Marshall County, AL",01095,2020,12,96990,Unreliable,41147
"Mobile County, AL",01097,2013,28,414079,6.8,33671
"Mobile County, AL",01097,2014,23,415123,5.5,34393
"Mobile County, AL",01097,2015,39,415395,9.4,35761
"Mobile County, AL",01097,2016,36,414836,8.7,35934
"Mobile County, AL",01097,2017,32,413955,7.7,36673
"Mobile County, AL",01097,2018,51,413757,12.3,37821
"Mobile County, AL",01097,2019,34,413210,8.2,39285
"Mobile County, AL",01097,2020,81,412716,19.6,42416
"Montgomery County, AL",01101,2020,30,224639,13.4,46116
"Morgan County, AL",01103,2018,21,119089,17.6,38739
"Morgan County, AL",01103,2020,19,119883,Unreliable,42823
"Russell County, AL",01113,2019,11,57961,Unreliable,32911
"Russell County, AL",01113,2020,10,58237,Unreliable,35834
"St. Clair County, AL",01115,2013,11,86308,Unreliable,32426
"St. Clair County, AL",01115,2014,15,86697,Unreliable,33972
"St. Clair County, AL",01115,2016,12,88019,Unreliable,35952
"St. Clair County, AL",01115,2017,16,88199,Unreliable,37297
"St. Clair County, AL",01115,2018,21,88690,23.7,39315
"St. Clair County, AL",01115,2019,17,89512,Unreliable,41290
"St. Clair County, AL",01115,2020,19,90739,Unreliable,43432
"Shelby County, AL",01117,2013,12,204180,Unreliable,46710
"Shelby County, AL",01117,2014,19,206655,Unreliable,48337
"Shelby County, AL",01117,2015,17,208713,Unreliable,50230
"Shelby County, AL",01117,2016,31,210622,14.7,50758
"Shelby County, AL",01117,2017,32,213605,15.0,52329
"Shelby County, AL",01117,2018,31,215707,14.4,54541
"Shelby County, AL",01117,2019,32,217702,14.7,57407
"Shelby County, AL",01117,2020,41,221428,18.5,59313
"Tuscaloosa County, AL",01125,2017,17,207811,Unreliable,35601
"Tuscaloosa County, AL",01125,2018,16,208911,Unreliable,36503
"Tuscaloosa County, AL",01125,2019,19,209355,Unreliable,37637
"Tuscaloosa County, AL",01125,2020,30,210758,14.2,39137
"Walker County, AL",01127,2014,12,65471,Unreliable,35321
"Anchorage Borough, AK",02020,2013,46,300950,15.3,57420
"Anchorage Borough, AK",02020,2014,47,301010,15.6,60217
"Anchorage Borough, AK",02020,2015,49,298695,16.4,62670
"Anchorage Borough, AK",02020,2016,43,298192,14.4,61425
"Anchorage Borough, AK",02020,2017,64,294356,21.7,62579
"Anchorage Borough, AK",02020,2018,40,291538,13.7,65394
"Anchorage Borough, AK",02020,2019,48,288000,16.7,66433
"Anchorage Borough, AK",02020,2020,74,287095,25.8,67764
"Fairbanks North Star Borough, AK",02090,2013,10,100436,Unreliable,48789
"Fairbanks North Star Borough, AK",02090,2014,16,99357,Unreliable,51669
"Fairbanks North Star Borough, AK",02090,2016,10,100605,Unreliable,52139
"Fairbanks North Star Borough, AK",02090,2019,11,96849,Unreliable,58371
"Juneau Borough, AK",02110,2017,10,32094,Unreliable,65221
"Kenai Peninsula Borough, AK",02122,2014,10,57477,Unreliable,50330
"Kenai Peninsula Borough, AK",02122,2015,13,58059,Unreliable,50737
"Kenai Peninsula Borough, AK",02122,2016,13,58506,Unreliable,49371
"Kenai Peninsula Borough, AK",02122,2018,12,58533,Unreliable,51687
"Kenai Peninsula Borough, AK",02122,2020,11,59414,Unreliable,55838
"Matanuska-Susitna Borough, AK",02170,2013,10,95192,Unreliable,44043
"Matanuska-Susitna Borough, AK",02170,2014,12,97882,Unreliable,46121
"Matanuska-Susitna Borough, AK",02170,2015,12,101095,Unreliable,47199
"Matanuska-Susitna Borough, AK",02170,2016,21,104365,20.1,45378
"Matanuska-Susitna Borough, AK",02170,2017,17,106532,Unreliable,45384
"Matanuska-Susitna Borough, AK",02170,2018,16,107610,Unreliable,47530
"Matanuska-Susitna Borough, AK",02170,2019,20,108317,18.5,50101
"Matanuska-Susitna Borough, AK",02170,2020,20,110213,18.1,52717
"Apache County, AZ",04001,2020,14,71875,Unreliable,42192
"Cochise County, AZ",04003,2013,11,129473,Unreliable,34436
"Cochise County, AZ",04003,2014,19,127448,Unreliable,35360
"Cochise County, AZ",04003,2015,28,126427,22.1,36659
"Cochise County, AZ",04003,2016,23,125770,18.3,37190
"Cochise County, AZ",04003,2017,20,124756,16.0,38920
"Cochise County, AZ",04003,2018,18,126770,Unreliable,39635
"Cochise County, AZ",04003,2019,21,125922,16.7,41293
"Cochise County, AZ",04003,2020,32,127450,25.1,46835
"Coconino County, AZ",04005,2013,11,136539,Unreliable,38325
"Coconino County, AZ",04005,2015,13,139097,Unreliable,42186
"Coconino County, AZ",04005,2017,13,140776,Unreliable,46032
"Coconino County, AZ",04005,2018,25,142854,17.5,47749
"Coconino County, AZ",04005,2019,12,143476,Unreliable,48892
"Coconino County, AZ",04005,2020,36,142481,25.3,52890
"Gila County, AZ",04007,2013,11,53053,Unreliable,32387
"Gila County, AZ",04007,2014,11,53119,Unreliable,33798
"Gila County, AZ",04007,2017,13,53501,Unreliable,38383
"Gila County, AZ",04007,2020,12,54303,Unreliable,44992
"Graham County, AZ",04009,2020,10,39211,Unreliable,35930
"Maricopa County, AZ",04013,2013,406,4009412,10.1,39600
"Maricopa County, AZ",04013,2014,460,4087191,11.3,41161
"Maricopa County, AZ",04013,2015,514,4167947,12.3,42948
"Maricopa County, AZ",04013,2016,625,4242997,14.7,44313
"Maricopa County, AZ",04013,2017,777,4307033,18.0,46402
"Maricopa County, AZ",04013,2018,954,4410824,21.6,48777
"Maricopa County, AZ",04013,2019,1068,4485414,23.8,51592
"Maricopa County, AZ",04013,2020,1403,4579081,30.6,56024
"Mohave County, AZ",04015,2013,56,203030,27.6,27154
"Mohave County, AZ",04015,2014,54,203361,26.6,28558
"Mohave County, AZ",04015,2015,53,204737,25.9,29410
"Mohave County, AZ",04015,2016,44,205249,21.4,30598
"Mohave County, AZ",04015,2017,39,207200,18.8,32260
"Mohave County, AZ",04015,2018,27,209550,12.9,33657
"Mohave County, AZ",04015,2019,38,212181,17.9,35457
"Mohave County, AZ",04015,2020,41,217206,18.9,40229
"Navajo County, AZ",04017,2013,10,107322,Unreliable,26563
"Navajo County, AZ",04017,2018,11,110445,Unreliable,32797
"Navajo County, AZ",04017,2019,16,110924,Unreliable,33501
"Navajo County, AZ",04017,2020,23,112112,20.5,38620
"Pima County, AZ",04019,2013,184,996554,18.5,36562
"Pima County, AZ",04019,2014,191,1004516,19.0,37432
"Pima County, AZ",04019,2015,193,1010025,19.1,38571
"Pima County, AZ",04019,2016,205,1016206,20.2,39723
"Pima County, AZ",04019,2017,204,1022769,19.9,41950
"Pima County, AZ",04019,2018,210,1039073,20.2,43624
"Pima County, AZ",04019,2019,244,1047279,23.3,45490
"Pima County, AZ",04019,2020,364,1061175,34.3,49601
"Pinal County, AZ",04021,2013,36,389350,9.2,27795
"Pinal County, AZ",04021,2014,28,401918,7.0,28623
"Pinal County, AZ",04021,2015,44,406584,10.8,29821
"Pinal County, AZ",04021,2016,40,418540,9.6,31214
"Pinal County, AZ",04021,2017,43,430237,10.0,32992
"Pinal County, AZ",04021,2018,47,447138,10.5,34758
"Pinal County, AZ",04021,2019,64,462789,13.8,37139
"Pinal County, AZ",04021,2020,89,480828,18.5,41546
"Santa Cruz County, AZ",04023,2020,17,46808,Unreliable,43176
"Yavapai County, AZ",04025,2013,14,215133,Unreliable,32352
"Yavapai County, AZ",04025,2014,14,218844,Unreliable,34267
"Yavapai County, AZ",04025,2015,20,222255,9.0,35641
"Yavapai County, AZ",04025,2016,23,225562,10.2,36834
"Yavapai County, AZ",04025,2017,25,228168,11.0,39094
"Yavapai County, AZ",04025,2018,27,231993,11.6,40738
"Yavapai County, AZ",04025,2019,54,235099,23.0,42739
"Yavapai County, AZ",04025,2020,83,240226,34.6,46954
"Yuma County, AZ",04027,2015,15,204275,Unreliable,31949
"Yuma County, AZ",04027,2016,17,205631,Unreliable,33033
"Yuma County, AZ",04027,2017,13,207534,Unreliable,34809
"Yuma County, AZ",04027,2018,10,212128,Unreliable,35266
"Benton County, AR",05007,2013,12,237297,Unreliable,63926
"Benton County, AR",05007,2014,25,242321,10.3,72906
"Benton County, AR",05007,2015,30,249672,12.0,77755
"Benton County, AR",05007,2016,27,258291,10.5,80857
"Benton County, AR",05007,2017,20,266300,7.5,82872
